Team,Games,Win-Loss,Off Rank,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Rank,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,First Down Rank,First Down Runs,First Down Passes,First Down Penalties,First Downs,First Down Def Rank,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs,4th Down Rank,4th Attempts,4th Conversions,4th Percent,4rd Down Def Rank,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent,Kickoff Return Rank,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return,Kickoff Return Def Rank,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed,Passing Off Rank,Pass Attempts,Pass Completions,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Pass Def Rank,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Penalty Rank,Penalties,Penalty Yards,Penalty Yards Per Game,Punt Return Rank,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return,Punt Return Def Rank,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return,Redzone Off Rank,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points,Redzone Def Rank,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed,Rushing Off Rank,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Rushing Def Rank,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Sack Rank,Sacks,Sack Yards,Average Sacks per Game,Scoring Def Rank,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Safety,Points Allowed,Avg Points per Game Allowed,Scoring Off Rank,Touchdowns,PAT,2 Point Conversions,Defensive Points,Safety,Total Points,Points Per Game,Tackle for Loss Rank,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game,3rd Down Rank,3rd Attempts,3rd Conversions,3rd Percent,3rd Down Def Rank,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent,Time of Possession Rank,Time of Possession,Average Time of Possession per Game,Turnover Rank,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game,Year,Win_Pct
Iowa (Big Ten),14.0,10-4,121.0,911,"4,252",4.67,30.0,303.7,17.0,976.0,4603.0,4.72,31.0,31.0,328.8,51,96,134,23,253.0,51.0,96.0,134.0,23.0,253.0,125,5,16,0.312,42.0,12.0,27.0,0.444,14,12,46,208,0,14.0,12.0,208.0,0.0,17.33,109,404.0,222.0,2521.0,6.24,11.36,12,180.1,42.0,262.0,468.0,3003.0,16.0,6.42,11.46,214.5,5,57,505,36.07,18,18,69,0,3.83,18.0,18.0,69.0,0.0,3.83,122,47,15,4,15,34,0.723,115.0,43.0,14.0,10.0,15.0,39.0,0.907,101,507,"1,731",3.41,18,123.6,13.0,508.0,1601.0,3.15,15.0,114.4,68.0,32.0,210.0,2.29,13.0,31.0,29.0,0.0,0.0,0.0,269.0,19.2,99,36.0,36,0,0.0,2,328,23.4,102,54,26,295,67,4.8,110,200,68,0.34,45.0,79.0,214.0,0.369,59,   419:18,   29:57,12,5,25.0,30,8,19,11,0.79,2021,0.7142857142857143
Iowa (Big Ten),13.0,8-5,130.0,772,3271,4.24,19.0,251.6,2.0,883.0,3520.0,3.99,17.0,18.0,270.8,127,72,94,14,180.0,10.0,91.0,99.0,13.0,203.0,121,5,15,0.333,112.0,20.0,32.0,0.625,31,20,443,0,22.15,17.0,18.0,305.0,0.0,16.94,123,349.0,192.0,2037.0,5.84,10.61,7,156.7,6.0,245.0,418.0,2203.0,13.0,5.27,8.99,169.5,5,53,425,32.69,33,31,300,0,9.68,24.0,21.0,92.0,0.0,4.38,85,27,7,5,10,22,0.815,32.0,34.0,4.0,10.0,13.0,27.0,0.794,124,423,1234,2.92,12,94.9,12.0,465.0,1317.0,2.83,4.0,101.3,105.0,38.0,277.0,2.92,2.0,18.0,17.0,0.0,0.0,0.0,173.0,13.3,123,25.0,25,0,0.0,2,230,17.7,30,60,54,376,87,6.7,129,176,49,0.278,11.0,64.0,209.0,0.306,105,368:16,28:20,24,8,15.0,23,10,17,6,0.46,2022,0.6153846153846154
Iowa (Big Ten),14.0,10-4,130.0,834,3284,3.94,20.0,234.6,7.0,970.0,3955.0,4.08,18.0,20.0,282.5,32,97,117,16,230.0,32.0,97.0,117.0,16.0,230.0,69,7,14,0.500,96.0,14.0,24.0,0.583,8,7,109,0,15.57,8.0,7.0,109.0,0.0,15.57,127,348.0,170.0,1661.0,4.77,9.77,9,118.6,5.0,265.0,472.0,2390.0,11.0,5.06,9.02,170.7,5,51,433,30.93,67,29,224,0,7.72,67.0,29.0,224.0,0.0,7.72,88,35,8,6,14,28,0.800,16.0,33.0,7.0,8.0,10.0,25.0,0.758,107,486,1623,3.34,11,115.9,15.0,498.0,1565.0,3.14,7.0,111.8,84.0,32.0,241.0,2.29,4.0,20.0,19.0,1.0,0.0,0.0,207.0,14.8,129,22.0,19,1,0.0,3,216,15.4,84,63,24,271,75,5.4,126,204,60,0.294,15.0,71.0,227.0,0.313,105,399:39,28:33,111,5,10.0,15,11,22,-7,-0.50,2023,0.7142857142857143
