Team,Games,Win-Loss,Off Rank,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Rank,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,First Down Rank,First Down Runs,First Down Passes,First Down Penalties,First Downs,First Down Def Rank,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs,4th Down Rank,4th Attempts,4th Conversions,4th Percent,4rd Down Def Rank,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent,Kickoff Return Rank,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return,Kickoff Return Def Rank,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed,Passing Off Rank,Pass Attempts,Pass Completions,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Pass Def Rank,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Penalty Rank,Penalties,Penalty Yards,Penalty Yards Per Game,Punt Return Rank,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return,Punt Return Def Rank,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return,Redzone Off Rank,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points,Redzone Def Rank,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed,Rushing Off Rank,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Rushing Def Rank,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Sack Rank,Sacks,Sack Yards,Average Sacks per Game,Scoring Def Rank,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Safety,Points Allowed,Avg Points per Game Allowed,Scoring Off Rank,Touchdowns,PAT,2 Point Conversions,Defensive Points,Safety,Total Points,Points Per Game,Tackle for Loss Rank,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game,3rd Down Rank,3rd Attempts,3rd Conversions,3rd Percent,3rd Down Def Rank,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent,Time of Possession Rank,Time of Possession,Average Time of Possession per Game,Turnover Rank,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game,Year,Win_Pct
Kentucky (SEC),13.0,10-3,46.0,862,"5,528",6.41,51.0,425.2,26.0,804.0,4421.0,5.5,32.0,34.0,340.1,37,82,138,21,241.0,37.0,82.0,138.0,21.0,241.0,114,6,16,0.375,3.0,5.0,18.0,0.278,73,13,56,276,0,73.0,13.0,276.0,0.0,21.23,71,366.0,242.0,2934.0,8.02,12.12,24,225.7,52.0,268.0,403.0,2842.0,20.0,7.05,10.6,218.6,18,63,548,42.15,37,9,50,0,5.56,37.0,9.0,50.0,0.0,5.56,51,54,24,15,7,46,0.852,108.0,38.0,10.0,15.0,9.0,34.0,0.895,25,496,"2,594",5.23,27,199.5,20.0,401.0,1579.0,3.94,12.0,121.5,47.0,25.0,156.0,1.92,26.0,34.0,31.0,1.0,0.0,0.0,282.0,21.7,38,55.0,54,0,0.0,0,414,31.8,50,60,38,284,79,6.1,5,151,76,0.503,65.0,64.0,166.0,0.386,11,   423:45,   32:36,126,3,9.0,12,10,23,-11,-0.85,2021,0.7692307692307693
Kentucky (SEC),13.0,7-6,116.0,813,4221,5.19,30.0,324.7,12.0,780.0,4048.0,5.19,26.0,29.0,311.4,99,90,116,23,229.0,6.0,86.0,98.0,13.0,197.0,22,16,26,0.615,19.0,12.0,30.0,0.4,92,27,506,1,18.74,119.0,14.0,334.0,0.0,23.86,95,349.0,224.0,2710.0,7.77,12.1,21,208.5,7.0,206.0,347.0,2220.0,10.0,6.4,10.78,170.8,14,74,514,39.54,105,23,114,0,4.96,120.0,11.0,150.0,0.0,13.64,104,47,8,17,12,37,0.787,49.0,33.0,12.0,6.0,9.0,27.0,0.818,108,464,1511,3.26,9,116.2,49.0,433.0,1828.0,4.22,16.0,140.6,127.0,47.0,318.0,3.62,13.0,29.0,23.0,2.0,0.0,2.0,250.0,19.2,112,32.0,25,0,0.0,0,265,20.4,123,40,30,231,55,4.2,108,170,58,0.341,23.0,57.0,171.0,0.333,11,431:11,33:10,80,7,10.0,17,6,19,-2,-0.15,2022,0.5384615384615384
Kentucky (SEC),13.0,7-6,98.0,714,4413,6.18,43.0,339.5,43.0,880.0,4596.0,5.22,39.0,39.0,353.5,89,98,148,19,265.0,89.0,98.0,148.0,19.0,265.0,130,2,10,0.200,109.0,11.0,18.0,0.611,121,23,562,0,24.43,121.0,23.0,562.0,0.0,24.43,83,375.0,211.0,2751.0,7.34,13.04,25,211.6,92.0,291.0,430.0,3126.0,20.0,7.27,10.74,240.5,64,79,661,50.85,50,10,65,0,6.50,50.0,10.0,65.0,0.0,6.5,84,42,11,18,5,34,0.810,118.0,47.0,17.0,12.0,14.0,43.0,0.915,95,339,1662,4.90,18,127.8,17.0,450.0,1470.0,3.27,19.0,113.1,43.0,22.0,156.0,1.69,60.0,39.0,34.0,4.0,0.0,0.0,336.0,25.8,56,50.0,48,0,0.0,0,378,29.1,24,72,26,369,85,6.5,74,137,52,0.380,104.0,80.0,185.0,0.432,118,359:07,27:37,78,7,11.0,18,8,20,-2,-0.15,2023,0.5384615384615384
